CAS_NUMBER	ID	COMPOUND_CODE	COMPOUND_NAME	FMLA	MOLECULAR_WEIGHT	KOWLOGP	STRUCTURECATEGORY	SMILES	AUTHORS	JOURNAL	PUBLICATION_DATE	VOLUME_NUMBER	START_PAGE	SOURCE_URL	ASSAY_CLASS_NAME	ASSAY_NAME	SPECIES_STRAIN	ENDPOINT_NAME	ENDPOINT_VALUE	ENDPOINT_UNIT	PROTEIN_SUBTYPE	PROTEIN_DOMAIN	ROUTE_OF_COMPOUND
50-28-2	283	1	estradiol	C18H24O2	272.38	3.74		C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1CC[C@@H]2O	Bertini S, De Cupertinis A, Granchi C, Bargagli B, Tuccinardi T, Martinelli A, Macchia M, Gunther JR, Carlson KE, Katzenellenbogen JA, Minutolo F.	Eur. J. Med. Chem.	2011	46	2453		Reporter Gene	Agonist activity at human full-length ERalpha receptor expressed in human HEC1 cells co-expressing (ERE)2-pS2-luc gene assessed as transcriptional activation after 24 hrs by luciferase reporter gene assay	Human	logRA	2		alpha	Full-length	
50-28-2	284	1	estradiol	C18H24O2	272.38	3.74		C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1CC[C@@H]2O	Minutolo F, Bertini S, Granchi C, Marchitiello T, Prota G, Rapposelli S, Tuccinardi T, Martinelli A, Gunther JR, Carlson KE, Katzenellenbogen JA, Macchia M.	J. Med. Chem.	2009	52	858		Reporter Gene	Agonist activity at full-length human estrogen receptor alpha expressed in human HEC1 cells assessed as transcriptional activation after 24 hrs by luciferase reporter gene assay	Human	logRA	2		alpha	Full-length	
50-28-2	285	1	estradiol	C18H24O2	272.38	3.74		C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1CC[C@@H]2O	Roll DM, Barbieri LR, Bigelis R, McDonald LA, Arias DA, Chang LP, Singh MP, Luckman SW, Berrodin TJ, Yudt MR.	J. Nat. Prod.	2009	72	1944		Reporter Gene	Agonist activity at estrogen receptor alpha ligand binding domain expressed in african green monkey COS7 cells cotransfected with Gal4-LBD by luciferase reporter gene assay		logRA	2		alpha	LBD	
50-28-2	286	1	estradiol	C18H24O2	272.38	3.74		C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1CC[C@@H]2O		J. Health Sci.	2000	46	282		Reporter Gene	relative activity of yeast two-hybrid assay on ERa	Human	logRA10	2		alpha	LBD	
50-28-2	287	1	estradiol	C18H24O2	272.38	3.74		C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1CC[C@@H]2O	Yang W, Wang Y, Ma Z, Golla R, Stouch T, Seethala R, Johnson S, Zhou R, GÃ¼ngr T, Feyen JH, Dickson JK Jr.	Bioorg. Med. Chem. Lett.	2004	14	2327		Reporter Gene	Ability to activate estrogen receptor 2-mediated transcription.		logRA	2		beta		
50-28-2	288	1	estradiol	C18H24O2	272.38	3.74		C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1CC[C@@H]2O	Hamann LG, Meyer JH, Ruppar DA, Marschke KB, Lopez FJ, Allegretto EA, Karanewsky DS.	Bioorg. Med. Chem. Lett.	2005	15	1463		Reporter Gene	In vitro agonist activity for estrogen receptor beta expressed in COS-1 cells		logRA	2		beta		
50-28-2	289	1	estradiol	C18H24O2	272.38	3.74		C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1CC[C@@H]2O	Roberts LR, Armor D, Barker C, Bent A, Bess K, Brown A, Favor DA, Ellis D, Irving SL, MacKenny M, Phillips C, Pullen N, Stennett A, Strand L, Styles M.	Bioorg. Med. Chem. Lett.	2011	21	5680		Reporter Gene	Agonist activity at ERbeta expressed in UAS cells co-expressing beta-lactamase after 18 hrs by beta-lactamase reporter gene assay		logRA	2		beta		
50-28-2	290	1	estradiol	C18H24O2	272.38	3.74		C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1CC[C@@H]2O	Shen J, Tan C, Zhang Y, Li X, Li W, Huang J, Shen X, Tang Y.	J. Med. Chem.	2010	53	5361		Reporter Gene	Agonist activity at ERbeta expressed in CHO-K1 cells by luciferase reporter gene transactivation assay		logRA	2		beta		
50-28-2	291	1	estradiol	C18H24O2	272.38	3.74		C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1CC[C@@H]2O	Shen J, Tan C, Zhang Y, Li X, Li W, Huang J, Shen X, Tang Y.	J. Med. Chem.	2010	53	5361		Reporter Gene	Agonist activity at ERbeta expressed in yeast assessed as alpha-galactosidase activity relative to E2		logRA10	2		beta		
50-28-2	292	1	estradiol	C18H24O2	272.38	3.74		C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1CC[C@@H]2O	Meyers MJ, Sun J, Carlson KE, Marriner GA, Katzenellenbogen BS, Katzenellenbogen JA.	J. Med. Chem.	2001	44	4230		Reporter Gene	Transcriptional potency (EC50) at Human estrogen receptor Beta	Human	logRA	2		beta		
50-28-2	293	1	estradiol	C18H24O2	272.38	3.74		C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1CC[C@@H]2O	Meyers MJ, Sun J, Carlson KE, Marriner GA, Katzenellenbogen BS, Katzenellenbogen JA.	J. Med. Chem.	2001	44	4230		Reporter Gene	Relative estrogenic potency at Human estrogen receptor Beta (EC50 (Estradiol) / EC50 (ligand))	Human	logRA	2		beta		
50-28-2	294	1	estradiol	C18H24O2	272.38	3.74		C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1CC[C@@H]2O	Waibel M, De Angelis M, Stossi F, Kieser KJ, Carlson KE, Katzenellenbogen BS, Katzenellenbogen JA.	Eur. J. Med. Chem.	2009	44	3412		Reporter Gene	Agonist activity at ERbeta expressed in human HEC1 cells assessed as transcriptional potency after 24 hrs by luciferase-beta galactosidase reporter gene assay	Human	logRA	2		beta		
50-28-2	295	1	estradiol	C18H24O2	272.38	3.74		C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1CC[C@@H]2O	Schopfer U, Schoeffter P, Bischoff SF, Nozulak J, Feuerbach D, Floersheim P.	J. Med. Chem.	2002	45	1399		Reporter Gene	Activation of estrogen response element in HeLa cells stably transfected with human Estrogen receptor beta.	Human	logRA	2		beta		
50-28-2	296	1	estradiol	C18H24O2	272.38	3.74		C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1CC[C@@H]2O	Schopfer U, Schoeffter P, Bischoff SF, Nozulak J, Feuerbach D, Floersheim P.	J. Med. Chem.	2002	45	1399		Reporter Gene	Agonist activity in transcriptional activation assay in SH-SY5Y neuroblastoma cells expressing Estrogen receptor beta	Human	logRA	2		beta		
50-28-2	297	1	estradiol	C18H24O2	272.38	3.74		C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1CC[C@@H]2O	Henke BR, Consler TG, Go N, Hale RL, Hohman DR, Jones SA, Lu AT, Moore LB, Moore JT, Orband-Miller LA, Robinett RG, Shearin J, Spearing PK, Stewart EL, Turnbull PS, Weaver SL, Williams SP, Wisely GB, Lambert MH.	J. Med. Chem.	2002	45	5492		Reporter Gene	Agonist effect on transcriptional activation of T47D cells expressing human estrogen receptor beta	Human	logRA	2		beta		
50-28-2	298	1	estradiol	C18H24O2	272.38	3.74		C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1CC[C@@H]2O	Henke BR, Consler TG, Go N, Hale RL, Hohman DR, Jones SA, Lu AT, Moore LB, Moore JT, Orband-Miller LA, Robinett RG, Shearin J, Spearing PK, Stewart EL, Turnbull PS, Weaver SL, Williams SP, Wisely GB, Lambert MH.	J. Med. Chem.	2002	45	5492		Reporter Gene	Percent of maximal transcriptional activation in T47D cells expressing estrogen receptor beta compared to 17-beta-estradiol	Human	logRA	2		beta		
50-28-2	299	1	estradiol	C18H24O2	272.38	3.74		C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1CC[C@@H]2O	De Angelis M, Stossi F, Carlson KA, Katzenellenbogen BS, Katzenellenbogen JA.	J. Med. Chem.	2005	48	1132		Reporter Gene	Transcriptional efficacy against human estrogen receptor beta at 10e-8 M	Human	logRA	2		beta		
50-28-2	300	1	estradiol	C18H24O2	272.38	3.74		C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1CC[C@@H]2O	De Angelis M, Stossi F, Carlson KA, Katzenellenbogen BS, Katzenellenbogen JA.	J. Med. Chem.	2005	48	1132		Reporter Gene	Transcriptional efficacy against human estrogen receptor beta at 10e-6 M	Human	logRA	2		beta		
50-28-2	301	1	estradiol	C18H24O2	272.38	3.74		C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1CC[C@@H]2O	Clegg NJ, Paruthiyil S, Leitman DC, Scanlan TS.	J. Med. Chem.	2005	48	5989		Reporter Gene	Transcriptional activation of estrogen receptor beta in U2OS cell using estrogen-regulated luciferase reporter gene plasmid upon incubation for 20-30 mins at RT	Human	logRA	2		beta		
50-28-2	302	1	estradiol	C18H24O2	272.38	3.74		C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1CC[C@@H]2O	Clegg NJ, Paruthiyil S, Leitman DC, Scanlan TS.	J. Med. Chem.	2005	48	5989		Reporter Gene	Transcriptional activation of estrogen receptor beta in U2OS cell using estrogen-regulated luciferase reporter gene plasmid upon incubation for 20-30 mins at RT	Human	logRA	2		beta		
50-28-2	303	1	estradiol	C18H24O2	272.38	3.74		C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1CC[C@@H]2O	Patch RJ, Searle LL, Kim AJ, De D, Zhu X, Askari HB, ONeill JC, Abad MC, Rentzeperis D, Liu J, Kemmerer M, Lin L, Kasturi J, Geisler JG, Lenhard JM, Player MR, Gaul MD.	J. Med. Chem.	2011	54	788		Reporter Gene	Agonist activity at human ERbeta LBD by cell based luciferase reporter gene assay	Human	logRA	2		beta		
50-28-2	304	1	estradiol	C18H24O2	272.38	3.74		C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1CC[C@@H]2O	Mcklinghoff S, van Otterlo WA, Rose R, Fuchs S, Zimmermann TJ, Dominguez Seoane M, Waldmann H, Ottmann C, Brunsveld L.	J. Med. Chem.	2011	54	2005		Reporter Gene	Agonist activity at human N-terminal His6-tagged ERbeta receptor LBD expressed in Escherichia coli BL21 (DE3) assessed as induction of SRC1 peptide recruitment after 1 hr by fluorescence polarization assay	Human	logRA	2		beta		
50-28-2	305	1	estradiol	C18H24O2	272.38	3.74		C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1CC[C@@H]2O	Bertini S, De Cupertinis A, Granchi C, Bargagli B, Tuccinardi T, Martinelli A, Macchia M, Gunther JR, Carlson KE, Katzenellenbogen JA, Minutolo F.	Eur. J. Med. Chem.	2011	46	2453		Reporter Gene	Agonist activity at human full-length ERbeta receptor expressed in human HEC1 cells co-expressing (ERE)2-pS2-luc gene assessed as transcriptional activation after 24 hrs by luciferase reporter gene assay	Human	logRA	2		beta	Full-length	
50-28-2	306	1	estradiol	C18H24O2	272.38	3.74		C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1CC[C@@H]2O	Minutolo F, Bertini S, Granchi C, Marchitiello T, Prota G, Rapposelli S, Tuccinardi T, Martinelli A, Gunther JR, Carlson KE, Katzenellenbogen JA, Macchia M.	J. Med. Chem.	2009	52	858		Reporter Gene	Agonist activity at full-length human estrogen receptor beta expressed in human HEC1 cells assessed as transcriptional activation after 24 hrs by luciferase reporter gene assay	Human	logRA	2		beta	Full-length	
50-28-2	307	1	estradiol	C18H24O2	272.38	3.74		C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1CC[C@@H]2O	Shen J, Tan C, Zhang Y, Li X, Li W, Huang J, Shen X, Tang Y.	J. Med. Chem.	2010	53	5361		Reporter Gene	Agonist activity at ERbeta expressed in yeast assessed as alpha-galactosidase activity		logRA	2		beta	LBD	
50-28-2	308	1	estradiol	C18H24O2	272.38	3.74		C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1CC[C@@H]2O	Roll DM, Barbieri LR, Bigelis R, McDonald LA, Arias DA, Chang LP, Singh MP, Luckman SW, Berrodin TJ, Yudt MR.	J. Nat. Prod.	2009	72	1944		Reporter Gene	Agonist activity at estrogen receptor beta ligand binding domain expressed in african green monkey COS7 cells cotransfected with Gal4-LBD by luciferase reporter gene assay		logRA	2		beta	LBD	
50-28-2	309	1	estradiol	C18H24O2	272.38	3.74		C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1CC[C@@H]2O	Ohta K, Chiba Y, Ogawa T, Endo Y.	Bioorg. Med. Chem. Lett.	2008	18	5050		Cell Proliferation	Estrogenic activity in human MCF7 cells assessed as cell proliferation after 6 days by WST8 assay	Human	logRE	2				
50-28-2	310	1	estradiol	C18H24O2	272.38	3.74		C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1CC[C@@H]2O	Bignon E, Pons M, Crastes de Paulet AC, DorÃ© JC, Gilbert J, Abecassis J, Miquel JF, Ojasoo T, Raynaud JP.	J. Med. Chem.	1989	32	2092		Cell Proliferation	Percent of effective dose for [3H]estradiol against proliferation of MCF-7 cells.	Human	logRE	2				
50-28-2	311	1	estradiol	C18H24O2	272.38	3.74		C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1CC[C@@H]2O	DorÃ© JC, Gilbert J, Bignon E, Crastes de Paulet A, Ojasoo T, Pons M, Raynaud JP, Miquel JF.	J. Med. Chem.	1992	35	573		Cell Proliferation	Agonistic activity in MCF-7 cell proliferation.	Human	logRE	2				
50-28-2	312	1	estradiol	C18H24O2	272.38	3.74		C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1CC[C@@H]2O	Ruenitz PC, Bourne CS, Sullivan KJ, Moore SA.	J. Med. Chem.	1996	39	4853		Cell Proliferation	Effect on estradiol-stimulated MCF-7 cell proliferation	Human	logRE	2				
50-28-2	313	1	estradiol	C18H24O2	272.38	3.74		C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1CC[C@@H]2O	Ruenitz PC, Bourne CS, Sullivan KJ, Moore SA.	J. Med. Chem.	1996	39	4853		Cell Proliferation	Stimulation of MCF-7 cell proliferation	Human	logRE	2				
50-28-2	314	1	estradiol	C18H24O2	272.38	3.74		C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1CC[C@@H]2O	Wiese TE, Polin LA, Palomino E, Brooks SC.	J. Med. Chem.	1997	40	3659		Cell Proliferation	Growth response in cultures of MCF-7 (human breast cancer cell line) cells	Human	logRE	2				
50-28-2	315	1	estradiol	C18H24O2	272.38	3.74		C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1CC[C@@H]2O	Renaud J, Bischoff SF, Buhl T, Floersheim P, Fournier B, Halleux C, Kallen J, Keller H, Schlaeppi JM, Stark W.	J. Med. Chem.	2003	46	2945		Cell Proliferation	Percent agonistic activity in MCF-7 breast tumor cells using MCF-7 assay	Human	logRE	2				
50-28-2	316	1	estradiol	C18H24O2	272.38	3.74		C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1CC[C@@H]2O	Renaud J, Bischoff SF, Buhl T, Floersheim P, Fournier B, Geiser M, Halleux C, Kallen J, Keller H, Ramage P.	J. Med. Chem.	2005	48	364		Cell Proliferation	Percent agonist activity against human breast adenocarcinoma (MCF-7) cell proliferation	Human	logRE	2				
50-28-2	317	1	estradiol	C18H24O2	272.38	3.74		C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1CC[C@@H]2O	Maximov PY, Myers CB, Curpan RF, Lewis-Wambi JS, Jordan VC.	J. Med. Chem.	2010	53	3273		Cell Proliferation	Estrogenic activity in human ERalpha expressing MCF7:WS8 cells assessed as stimulation of cell proliferation after 7 days	Human	logRE	2				
50-28-2	318	1	estradiol	C18H24O2	272.38	3.74		C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1CC[C@@H]2O	Patch RJ, Searle LL, Kim AJ, De D, Zhu X, Askari HB, ONeill JC, Abad MC, Rentzeperis D, Liu J, Kemmerer M, Lin L, Kasturi J, Geisler JG, Lenhard JM, Player MR, Gaul MD.	J. Med. Chem.	2011	54	788		Cell Proliferation	Agonist activity at human ERalpha LBD in human MCF7 cells assessed as induction of cell proliferation after up to 6 days by celltiter-glo assay	Human	logRE	2				
50-28-2	319	1	estradiol	C18H24O2	272.38	3.74		C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1CC[C@@H]2O	Soto AM, Sonnenschein C, Chung KL, Fernandez MF, Olea N, Serrano FO.	Environ. Health Perspect. 	1995	103	113		Cell Proliferation	E-Screen, Relative proliferative potency (RPP) in human breast cancer estrogen-sensitive MCF-7 cells	Human	logRPP	2				
50-28-2	320	1	estradiol	C18H24O2	272.38	3.74		C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1CC[C@@H]2O	Fang H, Tong W, Perkins R, Soto AM, Prechtl NV, Sheehan DM.	Environ Health Perspect.	2000	108	723		Cell Proliferation	E-Screen, Relative proliferative potency (RPP) in human breast cancer estrogen-sensitive MCF-7 cells	Human	logRPP	2				
50-28-2	321	1	estradiol	C18H24O2	272.38	3.74		C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1CC[C@@H]2O			2010			http://www.fda.gov/scienceresearch/bioinformaticstools/endocrinedisruptorknowledgebase/default.htm	In Vivo	Uterotrophic Assay	Mouse	LogRP	2.53				Sc
10540-29-1	322	2	tamoxifen	C26H29NO	371.51	4.97		CC\\C(=C(/c1ccccc1)\\c2ccc(OCCN(C)C)cc2)\\c3ccccc3	Halabalaki M, Aligiannis N, Papoutsi Z, Mitakou S, Moutsatsou P, Sekeris C, Skaltsounis AL.	J. Nat. Prod.	2000	63	1672		Binding	Displacement of [3H]estradiol from estrogen receptor relative to estradiol		logRBA	-0.161				
10540-29-1	323	2	tamoxifen	C26H29NO	371.51	4.97		CC\\C(=C(/c1ccccc1)\\c2ccc(OCCN(C)C)cc2)\\c3ccccc3			2002			http://iccvam.niehs.nih.gov/methods/endocrine/end_bckgnd.htm	Binding	 In vitro ER binding assays using MCF-7 Cytosol	Human	logRBA	0				
10540-29-1	324	2	tamoxifen	C26H29NO	371.51	4.97		CC\\C(=C(/c1ccccc1)\\c2ccc(OCCN(C)C)cc2)\\c3ccccc3			2002			http://iccvam.niehs.nih.gov/methods/endocrine/end_bckgnd.htm	Binding	 In vitro ER binding assays using MCF-7 Cells	Human	logRBA	-1.222				
10540-29-1	325	2	tamoxifen	C26H29NO	371.51	4.97		CC\\C(=C(/c1ccccc1)\\c2ccc(OCCN(C)C)cc2)\\c3ccccc3	Kumar S, Deshpande S, Chandra V, Kitchlu S, Dwivedi A, Nayak VL, Konwar R, Prabhakar YS, Sahu DP.	Bioorg. Med. Chem.	2009	17	6832		Binding	Displacement of [3H]estradiol from rat estrogen receptor by radiometric assay relative to estradiol	Rat	logRBA	0.367				
10540-29-1	326	2	tamoxifen	C26H29NO	371.51	4.97		CC\\C(=C(/c1ccccc1)\\c2ccc(OCCN(C)C)cc2)\\c3ccccc3	Kumar A, Tripathi VD, Kumar P, Gupta LP, Akanksha, Trivedi R, Bid H, Nayak VL, Siddiqui JA, Chakravarti B, Saxena R, Dwivedi A, Siddiquee MI, Siddiqui U, Konwar R, Chattopadhyay N.	Bioorg. Med. Chem.	2011	19	5409		Binding	Displacement of [3H]-estradiol from estrogen receptor in rat uteri after 18 hrs by scintillation counting relative to 17beta-estradiol	Rat	logRBA	0.342				
10540-29-1	327	2	tamoxifen	C26H29NO	371.51	4.97		CC\\C(=C(/c1ccccc1)\\c2ccc(OCCN(C)C)cc2)\\c3ccccc3	Fang H, Tong W, Shi LM, Blair R, Perkins R, Branham W, Hass BS, Xie Q, Dial SL, Moland CL, Sheehan DM.	Chem. Res. Toxicol.	2001	14	280		Binding	 In vitro ER binding assays using Rat uterine cytosol	Rat	logRBA	0.126				
10540-29-1	328	2	tamoxifen	C26H29NO	371.51	4.97		CC\\C(=C(/c1ccccc1)\\c2ccc(OCCN(C)C)cc2)\\c3ccccc3			2002			http://iccvam.niehs.nih.gov/methods/endocrine/end_bckgnd.htm	Binding	 In vitro ER binding assays using Mouse uterine cytosol	Mouse	logRBA	0.816				
10540-29-1	329	2	tamoxifen	C26H29NO	371.51	4.97		CC\\C(=C(/c1ccccc1)\\c2ccc(OCCN(C)C)cc2)\\c3ccccc3			2002			http://iccvam.niehs.nih.gov/methods/endocrine/end_bckgnd.htm	Binding	 In Vitro ER Binding Assays Glutathione-S-transferase fusion protein containing the ligand binding domain of the rainbow trout estrogen receptor	Trout	logRBA	1.398			LBD	
10540-29-1	330	2	tamoxifen	C26H29NO	371.51	4.97		CC\\C(=C(/c1ccccc1)\\c2ccc(OCCN(C)C)cc2)\\c3ccccc3			2002			http://iccvam.niehs.nih.gov/methods/endocrine/end_bckgnd.htm	Binding	 In Vitro ER Binding Assays Glutathione-S-transferase fusion protein containing the ligand binding domain of the chicken estrogen receptor	Chicken	logRBA	1.204			LBD	
10540-29-1	331	2	tamoxifen	C26H29NO	371.51	4.97		CC\\C(=C(/c1ccccc1)\\c2ccc(OCCN(C)C)cc2)\\c3ccccc3			2002			http://iccvam.niehs.nih.gov/methods/endocrine/end_bckgnd.htm	Binding	 In vitro ER binding assays using Glutathione-S-transferase fusion proteins consisting of the def domains of the lizard (anole)	Lizard	logRBA	1			LBD	
10540-29-1	332	2	tamoxifen	C26H29NO	371.51	4.97		CC\\C(=C(/c1ccccc1)\\c2ccc(OCCN(C)C)cc2)\\c3ccccc3	Adamczyk M, Reddy RE, Yu Z.	Bioorg. Med. Chem. Lett.	2002	12	1283		Binding	Displacement of radioligand from Estrogen receptor alpha		logRBA	1.607		alpha		
10540-29-1	333	2	tamoxifen	C26H29NO	371.51	4.97		CC\\C(=C(/c1ccccc1)\\c2ccc(OCCN(C)C)cc2)\\c3ccccc3		Bioorg. Med. Chem. Lett.	1995	5	2217		Binding	Relative binding affinity (RBA) for estrogen receptor compared to estradiol		logRBA	0.114		alpha		
10540-29-1	334	2	tamoxifen	C26H29NO	371.51	4.97		CC\\C(=C(/c1ccccc1)\\c2ccc(OCCN(C)C)cc2)\\c3ccccc3		Bioorg. Med. Chem. Lett.	1997	7	887		Binding	Affinity against estrogen receptor in MCF-7 cell lysate by competitive displacement of [3H]estradiol		logRBA	0		alpha		
10540-29-1	335	2	tamoxifen	C26H29NO	371.51	4.97		CC\\C(=C(/c1ccccc1)\\c2ccc(OCCN(C)C)cc2)\\c3ccccc3	Akama T, Shida Y, Sugaya T, Ishida H, Gomi K, Kasai M.	J. Med. Chem.	1996	39	3461		Binding	Binding affinity for estrogen receptor, by competition with [3H]estradiol		logRBA	-1.387		alpha		
10540-29-1	336	2	tamoxifen	C26H29NO	371.51	4.97		CC\\C(=C(/c1ccccc1)\\c2ccc(OCCN(C)C)cc2)\\c3ccccc3	Meegan MJ, Hughes RB, Lloyd DG, Williams DC, Zisterer DM.	J. Med. Chem.	2001	44	1072		Binding	Binding affinity for estrogen receptor	Human	Ki	157	nM	alpha		
10540-29-1	337	2	tamoxifen	C26H29NO	371.51	4.97		CC\\C(=C(/c1ccccc1)\\c2ccc(OCCN(C)C)cc2)\\c3ccccc3	Barrett I, Meegan MJ, Hughes RB, Carr M, Knox AJ, Artemenko N, Golfis G, Zisterer DM, Lloyd DG.	Bioorg. Med. Chem.	2008	16	9554		Binding	Displacement of fluorescein labeled estradiol from human recombinant ERalpha expressed in baculovirus infected insect cells by fluorescence polarization assay	Human	IC50	70	nM	alpha		
10540-29-1	338	2	tamoxifen	C26H29NO	371.51	4.97		CC\\C(=C(/c1ccccc1)\\c2ccc(OCCN(C)C)cc2)\\c3ccccc3	Kraft KS, Ruenitz PC, Bartlett MG.	J. Med. Chem.	1999	42	3126		Binding	Displacement of [3H]17-beta-estradiol from human estrogen receptor alpha	Human	logRBA	1.148		alpha		
10540-29-1	339	2	tamoxifen	C26H29NO	371.51	4.97		CC\\C(=C(/c1ccccc1)\\c2ccc(OCCN(C)C)cc2)\\c3ccccc3	Endo Y, Yoshimi T, Ohta K, Suzuki T, Ohta S.	J. Med. Chem.	2005	48	3941		Binding	Relative binding affinity (RBA) for human recombinant estrogen receptor alpha compared to [3H]-Estradiol at 4 nM	Human	logRBA	0.322		alpha		
10540-29-1	340	2	tamoxifen	C26H29NO	371.51	4.97		CC\\C(=C(/c1ccccc1)\\c2ccc(OCCN(C)C)cc2)\\c3ccccc3	Schmid CR, Glasebrook AL, Misner JW, Stephenson GA.	Bioorg. Med. Chem. Lett.	1999	9	1137		Binding	Displacement of [3H]17-beta-estradiol from estrogen receptor of MCF-7 cell lysate as relative binding affinity	Human	logRBA	0		alpha		
10540-29-1	341	2	tamoxifen	C26H29NO	371.51	4.97		CC\\C(=C(/c1ccccc1)\\c2ccc(OCCN(C)C)cc2)\\c3ccccc3	Gauthier S, Caron B, Cloutier J, Dory YL, Favre A, Larouche D, Mailhot J, Ouellet C, Schwerdtfeger A, Leblanc G, Martel C, Simard J, MÃ©rand Y, BÃ©langer A, Labrie C, Labrie F.	J. Med. Chem.	1997	40	2117		Binding	Relative affinity for estrogen receptor of Human Breast cancer or normal uterine cytosol (3.3%ethanol) compared to estradiol	Human	logRBA	-0.036		alpha		
10540-29-1	342	2	tamoxifen	C26H29NO	371.51	4.97		CC\\C(=C(/c1ccccc1)\\c2ccc(OCCN(C)C)cc2)\\c3ccccc3	Gauthier S, Caron B, Cloutier J, Dory YL, Favre A, Larouche D, Mailhot J, Ouellet C, Schwerdtfeger A, Leblanc G, Martel C, Simard J, MÃ©rand Y, BÃ©langer A, Labrie C, Labrie F.	J. Med. Chem.	1997	40	2117		Binding	Relative Binding Affinity for estrogen receptor in Human Breast cancer or normal uterine cytosol in 3.3%ethanol compared to estradiol	Human	logRBA	-0.036		alpha		
10540-29-1	343	2	tamoxifen	C26H29NO	371.51	4.97		CC\\C(=C(/c1ccccc1)\\c2ccc(OCCN(C)C)cc2)\\c3ccccc3	Hossain MB, van der Helm D, Schmitz FJ, Pordesimo EO, Magarian RA, Meyer KL, Overacre LB, Day BW.	J. Med. Chem.	1994	37	1670		Binding	Percent relative binding affinity (RBA) for estrogen receptor compared to estradiol	Human	logRBA	-0.046		alpha		
10540-29-1	344	2	tamoxifen	C26H29NO	371.51	4.97		CC\\C(=C(/c1ccccc1)\\c2ccc(OCCN(C)C)cc2)\\c3ccccc3	Rivera-Guevara C, PÃ©rez-Alvarez V, GarcÃ­a-Becerra R, Ordaz-Rosado D, Morales-RÃ­os MS, HernÃ¡ndez-Gallegos E, Cooney AJ, Bravo-GÃ³mez ME, Larrea F, Camacho J.	Bioorg. Med. Chem.	2010	18	5593		Binding	Displacement of [2,4,6,7-3H]estradiol from human ERalpha expressed in HeLa cells after 18 hrs by liquid scintillation counting	Human	logRBA	-0.29		alpha		
